Cash,AccountsReceivable,TotalCurrentAssets,OtherCurrentAssets,TotalAssets,AccountsPayable,OperatingRevenue,OperatingCost,SellingExpenses,OperatingProfit,TotalProfit,IncomeTax,NetProfit,Variance
-0.11546539123572429,0.1850012975173621,-0.07947225246505885,-0.08055792391568253,-0.1247532968582859,-0.12492582017861818,-0.09714242141151097,-0.09124694257813475,-0.08798583547436294,-0.10373477535729216,-0.09178660383699495,-0.11781863344507756,-0.08643400437038466,0.0055380411502424
-0.12860184109975986,-0.161430795520722,-0.14899934185554675,-0.08599569211567011,-0.17140667779371258,-0.1158028240879558,-0.1338351498923395,-0.12127589593094891,-0.14020366767225054,-0.13874659191111716,-0.13842934703928894,-0.16047280367800393,-0.13326290058039228,0.0108506394329166
-0.13715347490953386,-0.2791936719043439,-0.16723008946568926,-0.08599569211567011,-0.17388146125464432,-0.14195113500581066,-0.13556843964367155,-0.12645784515592828,-0.1261121268407076,-0.11817876991700114,-0.11493022609954141,-0.13461904943500616,-0.11041350736776202,0.0105689003432727
0.2379157061934697,0.5106947713747366,0.16833471344272768,0.14123866936068774,0.040578367901042425,0.019029934257696876,-0.047986076152875375,-0.04808868749713503,-0.09151677565032608,0.020245030994560254,0.026987559141558804,-0.014145132636239649,0.03365648084023512,0.024229939566606
0.04514635197295204,-0.13737865258358564,-0.06276182724834638,-0.0822986569026253,-0.10504106945645063,-0.11297661999315532,-0.1286464319275578,-0.13014573182950367,-0.13815584984823273,-0.04307456620366965,-0.04655041267225473,-0.1373815243291158,-0.03063651573249008,0.0117031382408787
-0.1877154636692508,-0.3030264599084903,-0.1883129831129295,-0.08599569211567011,-0.18882888327913425,-0.14316456626196236,-0.14261766101474857,-0.13085814539954274,-0.14401040529309939,-0.13403023488990534,-0.1362318487839837,-0.15329643358042425,-0.13193689582396134,0.0912246098372424
-0.07990912730686837,0.06262541660314364,0.016728444642749963,0.20368887761569063,-0.01412130178841652,-0.06592549515517555,-0.027358466121883262,-0.028186254368900772,0.048523637772588134,0.17277125030026189,0.16420315654623477,0.2834778165800901,0.14209208815619778,0.1112881356853636
-0.12565324491381077,-0.29138323538974187,-0.17518056508007057,-0.08599569211567011,-0.18284180962922503,-0.14545324265409523,-0.14606975640610573,-0.13590699891752606,-0.14675134057434183,-0.12301739928358689,-0.12396331931655265,-0.144415678503376,-0.11922096673908897,0.1472429136782909
0.33402506035051516,0.255831985250291,0.22137483925224116,-0.05796791412510441,0.2703821050470151,-0.004951812040634977,0.17987073841917037,0.03201766334577571,1.533147382953827,0.5701194402234246,0.5598887412414161,0.512240984864757,0.5620306958465773,0.0730443644248105
-0.163841918038149,-0.2108165265955461,-0.1610071559619491,-0.08543897896157847,-0.16897471436177594,-0.10818507101437196,-0.12736318968305593,-0.11885127776324118,-0.09847661591346031,-0.138994440884303,-0.13760389323066674,-0.1565127815120737,-0.1329802136496025,0.0145015056617272
-0.07328028168798574,0.18633724921656508,-0.04363960082779349,-0.07545389260777911,-0.07225786244487374,-0.08217273538486464,-0.08858078158180668,-0.09842895240912237,0.0007608424703168085,-0.11836202330849172,-0.1204132310488294,-0.12989841058994842,-0.11757690544556447,0.0127566008463333
-0.18445483564189205,-0.22940218581019436,-0.1726270373169862,-0.08302996142732423,-0.15640117589149222,-0.10727068627709375,-0.12480385843283308,-0.11698613615357233,-0.10837573215430586,-0.14394653193891532,-0.14308889816648615,-0.16420135894356713,-0.13803177723831125,0.0324357489152909
-0.1768616870320357,-0.12167146100866089,-0.13709006946131883,-0.07495260306379234,-0.12776368845518407,-0.09408823925756554,-0.10033734111702705,-0.09295710044846979,-0.12416049506872602,-0.14777284252133593,-0.14516024865606958,-0.13355262303137816,-0.14565572759816706,0.0083537987368787
