A001000000-q1,A001000000-q2,A001000000-q3,A001000000-q4,A001100000-q1,A001100000-q2,A001100000-q3,A001100000-q4,A001101000-q1,A001101000-q2,A001101000-q3,A001101000-q4,A002108000-q1,A002108000-q2,A002108000-q4,B001000000-q1,B001000000-q2,B001000000-q3,B001000000-q4,B001101000-q1,B001101000-q2,B001101000-q3,B001101000-q4,B001201000-q1,B001201000-q2,B001201000-q3,B001201000-q4,B001209000-q1,B001209000-q2,B001209000-q3,B001209000-q4,B001300000-q1,B001300000-q2,B001300000-q3,B001300000-q4,B002000000-q1,B002000000-q2,B002000000-q3,B002000000-q4,B002100000-q1,B002100000-q2,B002100000-q3,B002100000-q4,Variance
-0.17707821011316047,-0.18448616135936366,-0.18968057940082975,-0.1800275921401717,-0.15901126373696897,-0.15959979793240836,-0.16940274338398006,-0.15750823388771912,-0.1351327814566361,-0.1351056749670536,-0.16533932917168137,-0.13667480887753458,-0.12261826610905445,-0.1372633140417768,-0.1397531170669902,-0.10036913086724421,-0.16085554246588604,-0.1766206733505426,-0.13501621400221964,-0.11414998776465989,-0.1426030477948865,-0.14522645074454316,-0.1397521287651795,-0.10886860462122012,-0.13228744433244927,-0.13406689671374508,-0.13020859071734706,-0.1080128820847257,-0.13286320787229494,-0.1330702116572513,-0.13116424111288175,-0.10641716312214591,-0.1658786148549986,-0.18013207866208286,-0.1400677171107474,-0.09537505227088126,-0.15676337465410187,-0.17391784207869562,-0.12942597166459377,-0.12497112957606038,-0.17704752978085742,-0.18675791979442197,-0.16163976799314,2.709640001073982
-0.032803305504540595,-0.04806881407818177,-0.05164820384095599,-0.04677428691015819,-0.07539543767489167,-0.09207348325770096,-0.09745436710267921,-0.09463942490451842,-0.12329705429486303,-0.13400775451851518,-0.1389678976108868,-0.14358713036277929,-0.004044015563229593,-0.036219684906032834,-0.031318891123740596,-0.06232507022443409,-0.09739236746438978,-0.0981557356998074,-0.10075515013794575,-0.009153297306761099,-0.013867207981567743,-0.01901416723312894,-0.021731249806739635,-0.017428470252893034,-0.022206253404188744,-0.026151289869460116,-0.028865689918894745,-0.05735869689516739,-0.07596207720362341,-0.07597403393082795,-0.06116976467879131,-0.059240850264609596,-0.09383951162972182,-0.09481801171062902,-0.09884230813244062,-0.07169849111736842,-0.1343086038745377,-0.14091117087566787,-0.12026211067246632,-0.005581306562982637,0.10238096198216905,0.14283842966471919,0.024240435871911478,0.0172312545332424
0.9094201520282216,0.8905621811789906,0.9338121502221844,0.7900854577891707,0.7536301694728998,0.6645529535318289,0.698555117122723,0.24194148477694738,0.6345842804046041,0.841899756030661,0.6754921740339868,0.38505300812859256,0.3579962609378396,0.15693804526253824,0.534215943873844,-0.11695139530570155,-0.248658054013079,-0.1793965047378151,-0.507904099746938,0.9401377408183903,1.1352491240667621,1.060667326153637,0.9536596856417296,1.076047278679639,1.2870169199364894,1.2024146450354045,1.0953065771695236,0.09050777509346845,0.10379575800990097,0.10677474965985721,0.15024452412781278,-0.13914082065504801,-0.2705261466532959,-0.19540431146526843,-0.5352385947177628,-0.10205334629938755,-0.27310539893480695,-0.1861787054938151,-0.5092289590918297,-0.1980969728464116,-0.10933785157347709,-0.13651956663185374,-0.47044672892434014,0.0108553235342727
-0.1838128541092397,-0.1955057651747669,-0.19585548670042982,-0.1894424980429792,-0.17679570496231597,-0.1844523183832992,-0.1859236928705532,-0.18095346898392212,-0.1677089300660152,-0.16906260897083872,-0.17650934154278358,-0.18486240401526757,-0.13057977366124696,-0.1352928255107672,-0.12725020289435213,-0.14501678077291416,-0.17104480577367495,-0.17596525482551542,-0.1513124887021855,-0.13574632730936417,-0.14267727783271597,-0.14152626269126606,-0.139276683426908,-0.1231866735403119,-0.128725381003846,-0.12759119192273433,-0.12574729752783903,-0.14522300040675387,-0.15938665017713874,-0.1578994097448046,-0.15008433776082236,-0.14599771497686842,-0.17080536671621274,-0.17512996557592123,-0.1516071864232284,-0.13940261502618925,-0.16848619014287639,-0.17344940080693227,-0.14576266339052033,-0.17103618515729022,-0.17866433837637702,-0.18508023692858175,-0.17673793416115818,0.0083723352680727
-0.05699135166707881,-0.06925484588833287,-0.07101413178087576,-0.07625542208526534,-0.13106243046388205,-0.13891101040504958,-0.13715231259919114,-0.14236246051748833,-0.10857886611669589,-0.11364128041278843,-0.10085915413543463,-0.10947699200838804,-0.0833874868709973,-0.08405092736714688,-0.09875345096474643,-0.23302748091339673,-0.11069528098148124,-0.12119787527038299,-0.09961376420879263,-0.08785696627573718,-0.10760051589080194,-0.10879305954151137,-0.1056394389252694,-0.07998396280676841,-0.10495024476890842,-0.10564456689099701,-0.10404440030188312,-0.08562101497714879,-0.07858375594707495,-0.0779187894970435,-0.06288577515068655,-0.2372663679594025,-0.11858828738008795,-0.1277997047850594,-0.1059955305482315,-0.2199827369531649,-0.10850543353808549,-0.11749822803895357,-0.09309725344467762,-0.2977908966173322,-0.1187339402236918,-0.13867645274512658,-0.133972298481527,0.0149344840531636
-0.0652314710608808,-0.06388693417029512,-0.07086041361494311,-0.07002326828646456,-0.06257292991478852,-0.07011529524962228,-0.08136146948476472,-0.08086661499926423,0.021895320499658196,-0.024809935585078012,-0.05153674038494722,-0.05344444386024382,-0.10577621537589402,-0.11076099116552376,-0.11013188818717667,-0.14647797960936215,-0.22844841703042293,-0.22076621613900757,-0.25676416326773654,-0.08937505465268315,-0.07742502899181603,-0.07902041313047106,-0.07718979503068443,-0.08269576043768612,-0.06778918926791469,-0.06909396238988244,-0.06429424849024172,-0.05042943078852763,0.008034228112322276,-0.001403926440191288,0.023264291591734307,-0.15309572859351486,-0.22996700761811603,-0.22276843776293798,-0.26709992100671476,-0.13983150215059598,-0.24051698824458162,-0.23305663919572836,-0.23852712860632022,-0.17840404722865258,-0.155874318358944,-0.1458261169507419,-0.3536949604828005,0.0757299736026969
-0.16790835465976064,-0.1801905155209946,-0.17099840356497675,-0.1644277846933379,-0.1722822300200439,-0.18155639701099052,-0.1657821218873643,-0.16028311239119952,-0.18121310998627613,-0.17749832997246043,-0.1602807019617552,-0.16966061708180602,-0.11942100751732762,-0.12470652613959915,-0.11576040975084372,-0.12627880274046538,-0.12831940874631592,-0.12614205610497684,-0.09788538241763206,-0.11722500315041426,-0.12089506074089962,-0.12082193491060034,-0.12077899397057053,-0.10971994042353428,-0.11410202224325633,-0.11438609089942686,-0.11418955966815789,-0.11751389275245785,-0.12990630627648805,-0.12888624669201734,-0.12772021826608906,-0.12376631489817377,-0.12523494338226981,-0.12305479643527095,-0.09515227219513975,-0.12163919259397186,-0.12522710884057295,-0.12344969009004701,-0.09005096345366961,-0.1475669765296472,-0.1404697454858683,-0.13784143025138074,-0.1404115575497623,0.0113745932313636
-0.08113696681042774,-0.09381548749819146,-0.09616818902842587,-0.09465808355948234,-0.07299465069693449,-0.08874884888603067,-0.090860283837889,-0.10025456211577827,-0.1457877240621855,-0.16374425708259668,-0.15904325577672626,-0.15400171582346983,-0.09369831702165894,-0.0989682548591791,-0.1044524699579166,-0.154173165214174,-0.180474162635859,-0.1794331239633189,-0.14158628150874517,-0.11032071685118476,-0.12438006119111411,-0.1213883920670892,-0.1157871352409206,-0.1009772277511627,-0.11370635315105668,-0.11088718958223721,-0.10742235724072216,-0.10459026192245689,-0.10406558975857468,-0.09001396321637463,-0.08558161802913909,-0.15277653477543365,-0.17769920344041862,-0.17721671158409188,-0.13926811798059863,-0.14310287175765268,-0.18076507531660543,-0.17783463461771573,-0.12911767833385185,-0.2113415706397577,-0.1725404006354801,-0.18331801777976145,-0.20992842212721746,0.0170785539466363
-0.16223636827606294,-0.17492381576619007,-0.1764189886142662,-0.17000038388493274,-0.16016782990995196,-0.17644412433533718,-0.1800932271807827,-0.17512675582433923,-0.14781223448574457,-0.17617684825096255,-0.18652375090998718,-0.19775445361975574,-0.145212270157792,-0.15409585141880663,-0.1436439178311336,-0.12852180976383173,-0.15813535870107673,-0.16772208936752334,-0.14436340339836537,-0.13967470844911706,-0.15076235178281042,-0.15163733690496833,-0.1493946089745485,-0.12946866862658063,-0.13891483202728863,-0.13948044340272536,-0.13757967263183793,-0.12017187376316592,-0.13281718067237694,-0.13342217581152133,-0.1301239101894144,-0.1286980878949935,-0.15738262987161883,-0.16864932332567753,-0.1469603109140787,-0.12052130193764886,-0.15266776969592208,-0.16350024047132483,-0.13974391434082856,-0.16916269468819942,-0.18176233871391642,-0.18662090133008438,-0.16449974431873934,0.0103500284957196
-0.14834563735773137,-0.16060232347761844,-0.14886433720243808,-0.1399062161855036,-0.13505064381716428,-0.1471338113355667,-0.12601422233311146,-0.11390196013877779,-0.17935056582725523,-0.17592403475645846,-0.12883891861355418,-0.1638006842226482,-0.1016032839890394,-0.09320929729443998,-0.08197979673288147,-0.30297155736927045,-0.18246986148148686,-0.18445964639589305,-0.16454913371692043,-0.13094881231108604,-0.12937301793884778,-0.12717000192701125,-0.12386196400825233,-0.11725456933132462,-0.1180495248666279,-0.11593604021826973,-0.11307649768847176,-0.10168063802684017,-0.14167851012715665,-0.14100842043931888,-0.13189142081704724,-0.30419228112873725,-0.1802322658140753,-0.18217548029347183,-0.16371533461271703,-0.2911658207313882,-0.17257977162559215,-0.17708427946783095,-0.14118664318395316,-0.3571555920883042,-0.2286965045681797,-0.22041729296856127,-0.29823221964678603,0.2092310567009924
