A001000000-q1,A001000000-q2,A001000000-q3,A001000000-q4,A001100000-q1,A001100000-q2,A001100000-q3,A001100000-q4,A001101000-q1,A001101000-q2,A001101000-q3,A001101000-q4,A002108000-q1,A002108000-q2,A002108000-q4,B001000000-q1,B001000000-q2,B001000000-q3,B001000000-q4,B001101000-q1,B001101000-q2,B001101000-q3,B001101000-q4,B001201000-q1,B001201000-q2,B001201000-q3,B001201000-q4,B001209000-q1,B001209000-q2,B001209000-q3,B001209000-q4,B001300000-q1,B001300000-q2,B001300000-q3,B001300000-q4,B002000000-q1,B002000000-q2,B002000000-q3,B002000000-q4,B002100000-q1,B002100000-q2,B002100000-q3,B002100000-q4,Variance
-0.1902178968817561,-0.005008730467365508,-0.1886183861063875,-0.1825287180129771,-0.1888625261944743,-0.005134526880720649,-0.1741059309301622,-0.16804557261512915,-0.1787416658081772,-0.004367483964326601,-0.09626327187251514,-0.1784357783282311,-0.14586943201893804,-0.0038557699848771995,-0.14979127841753334,-0.08956068236996559,-0.002388083250367464,-0.14671071403374356,-0.11460873353771625,-0.12496872389036118,-0.006096884599107609,-0.14582292011212497,-0.1435722360960608,-0.1159123589525672,-0.006423202654992569,-0.1345187281297016,-0.13238116532892763,-0.13857082144286337,-0.003108108242316016,-0.15501345218777154,-0.1558285087052179,-0.08589973518601851,-0.003671497625611779,-0.14356319577632065,-0.11256334784683084,-0.08337539701036796,-0.0024049420560016584,-0.14393174608096676,-0.10905168708964041,-0.12158670735990483,-0.0021803373873045474,-0.15823299557295017,-0.1422196638198734,0.0265679446816666
-0.10316299799757916,-0.10439716468735874,-0.09552924214396408,-0.04886952612650728,-0.07786002310969752,-0.08030246959203861,-0.08115156248869236,-0.04194758806895899,-0.033960858124694605,-0.06714687237092452,-0.07308390593465432,-0.07954300032036868,-0.0519621000276737,-0.02743165900254924,0.01048476499787128,-0.05026203180197116,-0.021068713958596486,-0.017140378628527433,0.0036526506979837016,-0.08004901298850597,-0.06696361135651091,-0.06292647165519878,-0.050715622850461425,-0.08032866763298517,-0.07290655761266998,-0.0695464229223005,-0.05812183326994493,-0.022420738393747322,0.024032123157485256,0.019560684633781404,0.02109408112887689,-0.05383403686327573,-0.030245956098363138,-0.023551565809578297,0.006609536131654487,-0.044191051660467426,-0.02232257037256335,-0.01617539822840441,0.0131465440263999,-0.08353909975081573,-0.01430120753937989,-0.02270049359226461,-0.05495472582617332,0.0058144515083333
-0.03738255924872637,-0.04954560687286204,-0.05762590945830614,-0.059255211618033585,-0.058986612574142824,-0.08314642288136982,-0.09317016706601125,-0.09137851224895661,-0.022759789086775506,-0.07520226779858004,-0.10774261025382006,-0.12588672984336527,-0.09000905872659087,-0.11591486716776545,-0.0918215004920208,-0.11247736238570738,-0.14341261285058993,-0.14279849343013276,-0.10506301104778681,-0.0678304431654523,-0.08250727085904429,-0.08227241577568337,-0.07844584880576214,-0.057269768826925894,-0.0704754588554033,-0.07081299228960496,-0.06798960822434211,-0.10827901829053418,-0.12194419467132349,-0.12308412978901984,-0.11664902273366282,-0.12728120516570063,-0.15388335621501423,-0.14962379849103316,-0.11064277621051029,-0.10766452764557258,-0.13638320603548293,-0.13771712761670202,-0.10078399113947577,-0.13544044046406914,-0.1759416999165772,-0.16729340805611248,-0.12540813996373826,0.0328723762093444
-0.17576724903323884,-0.1880211153672578,-0.18835144698091724,-0.18151666393861482,-0.1666933204336845,-0.17813765840057313,-0.18036860483408573,-0.17272710632795482,-0.1559164542021671,-0.15462213144896483,-0.159824012458897,-0.16185836286892744,-0.1435955005444042,-0.14983608785392344,-0.14537694195041645,-0.09131756161391377,-0.11544914382527068,-0.11878435366332411,-0.089239946905056,-0.13818073182768306,-0.14790952545451277,-0.14776491384918566,-0.14565492860850374,-0.13032340722133132,-0.13981610160352304,-0.13959127704089727,-0.1378434166342571,-0.14614773999976302,-0.15914998902022987,-0.15764407345621145,-0.15309366613805356,-0.08953334370430702,-0.11316246083759451,-0.11635235455510191,-0.08811607515458426,-0.08619874278499357,-0.11317101006250734,-0.11659684601413269,-0.08462422226409953,-0.11708249641603229,-0.12377037579683102,-0.12790289853285822,-0.1125691299989008,0.0309573288968787
-0.032263292905779034,-0.05230315635701133,-0.05043974515206792,-0.03472797517713978,0.020443856761999262,-0.043642158866310864,-0.0378351839759246,-0.008111084740961436,0.0024041713879376465,-0.05948930006841236,-0.08631937905249913,-0.08660571439751658,-0.023628747703670034,-0.0449442937586171,-0.017091529344698354,-0.05930386417255762,-0.09097901486743074,-0.10868825668232618,-0.03989447524683191,-0.03167517412806522,-0.055071437871604,-0.04342390120134944,-0.030604734433830102,-0.025510021476383083,-0.045045550412167984,-0.033837602714970036,-0.025119231371312736,-0.05514784103120438,-0.09201887444336317,-0.0986686645899711,-0.09081684021688569,-0.062483659156006385,-0.09209829888292845,-0.10880915274053611,-0.04246967644855779,-0.0546851738509685,-0.0939411960408018,-0.1114089286691531,-0.04811763810643819,-0.08373105044597305,-0.07234904097157979,-0.09074400374608423,0.012483319704715359,0.0066573711695378
-0.09438287314816096,-0.1044832581760487,-0.1220575115211397,-0.1425343131030372,-0.11341586625520823,-0.12532865056738085,-0.13883846670253502,-0.15928347585214514,-0.10643241199722013,-0.121384051063746,-0.13767464669072965,-0.15841685861862975,-0.09617952196233753,-0.1191845466831762,-0.12257836307673303,-0.9866683430130945,-0.24202152858637188,-0.2579602957989686,-0.09455655586389523,-0.1270099982578431,-0.14487898345665876,-0.14539801038716438,-0.14269955397836934,-0.11914068351010487,-0.1328997179210442,-0.13320367837804004,-0.13074225067898476,-0.1172206297416738,-0.13027740323770165,-0.12945880537140356,-0.1252747913265518,-0.9981328668210863,-0.23982605667042603,-0.25607321645541126,-0.4502023591111188,-1.0484927614278696,-0.24474132194286666,-0.2616931791980089,-0.13092086598225572,-0.5812030148936354,-0.2187168682434597,-0.2295759517216608,0.13325985960890904,0.0101063970089318
-0.14290492087744638,-0.15222583549100818,-0.15243218977795092,-0.13665834333308952,-0.13992163207385225,-0.14543212603490216,-0.1465706216884168,-0.12064709474962572,-0.17987868285312247,-0.16997151855437057,-0.17140997222372809,-0.16610450682616162,-0.10994511512256498,-0.1179016394654329,-0.11458988198259705,-0.09203108791299566,-0.13204007427863412,-0.14732629683365475,-0.11251725115998865,-0.1223537226958758,-0.13086329599547877,-0.13086656403128305,-0.1279271570011118,-0.11493385117643946,-0.12211324343371405,-0.12174804191806786,-0.11972693616009833,-0.13768997477193784,-0.14782434652996657,-0.14479629200753918,-0.14113793663146057,-0.09370392800814559,-0.12880912769735017,-0.14426451936864484,-0.11016434108347538,-0.09267125222791377,-0.13403065267482966,-0.14784079766414177,-0.11141671480150166,-0.084412842378629,-0.11696444385245601,-0.14045174899642762,-0.11297226531570347,0.0084613792790606
-0.12941373039715062,-0.10235124520745127,-0.10532228948244925,-0.10272309355556597,-0.11409689760723356,-0.057239947539702685,-0.06343874897862832,-0.07280382996922832,-0.08584866360002634,0.05653999292577917,-0.052456823293721644,-0.0848644741969836,-0.11614143186112832,-0.10457331972065005,-0.11228949449026492,0.11040319028912413,-0.038335258252362135,-0.03606712387398209,-0.02709862455563148,0.08889358214573419,-0.023211946053394276,-0.0315557521125902,-0.03921478009160567,0.10618758142232514,-0.005816032380632037,-0.014503975769375383,-0.02207530445503949,-0.11313557037803135,-0.13819329302773686,-0.13728736150468018,-0.13563666591849946,0.09557388950108939,-0.05812716582280582,-0.06058289808382603,-0.04518863639284782,0.1105975699067782,-0.03849510632729208,-0.03650970320108934,-0.025761834513528606,0.1033349221467936,-0.03671406643581259,-0.033165656575121584,-0.033983022174155685,0.0599305258239047
-0.17590890609999094,-0.18815715711452266,-0.189559337198335,-0.18347457033498102,-0.17196433470794584,-0.18618531925274512,-0.19057695290100032,-0.18428948013630544,-0.13405163578461265,-0.15255066649657661,-0.16133175580976292,-0.1648346627653449,-0.13609228091681252,-0.1427207891449773,-0.13919063762899858,-0.12199988849059198,-0.14677797013353003,-0.15177213401112644,-0.1261350864964517,-0.13386269544656754,-0.14149384540367818,-0.1428595584890816,-0.14124990404633647,-0.12725323377195916,-0.13601759123597226,-0.13642256865889232,-0.1350473936992391,-0.09764641396126263,-0.06503404729469744,-0.07614678616436295,-0.07617035707679347,-0.11953017860872102,-0.14384086654720424,-0.14888824589391025,-0.12429266860503899,-0.11687968449130685,-0.14413554373914517,-0.14969838326782955,-0.12033149110918538,-0.14627931470677338,-0.15580251629256842,-0.1591969206475694,-0.15458267901212677,0.0172219306042651
-0.12547584601519132,-0.13008132457243077,-0.11931207033985147,-0.11349626287556479,-0.11331837799796132,-0.10909283089012284,-0.10871596720957807,-0.10089942974902863,-0.1549746585795178,-0.13885524322841478,-0.1695051744046032,-0.16312202401676607,-0.09763654149880696,-0.09835795684435092,-0.08949724248868232,-0.12347513516699941,-0.15678580215401067,-0.15978466455060097,-0.12426848804500702,-0.12508122999616933,-0.13459892919324937,-0.13339352835670523,-0.13010388309704365,-0.11878664722090328,-0.1264990055872707,-0.12563560907450402,-0.12347560820066834,-0.11051976608349301,-0.1197874144105702,-0.11522060272690138,-0.10921314084190868,-0.1263216519666358,-0.15757714325795685,-0.1620142624890936,-0.12699424007203608,-0.11862297142119708,-0.154535873004882,-0.15711061655195868,-0.11945181912015945,-0.14613061425230015,-0.16332402358596448,-0.17030179340322565,-0.14678408141296695,0.0026704902919696
