A001000000-q1,A001000000-q2,A001000000-q3,A001000000-q4,A001100000-q1,A001100000-q2,A001100000-q3,A001100000-q4,A001101000-q1,A001101000-q2,A001101000-q3,A001101000-q4,A002108000-q1,A002108000-q2,A002108000-q4,B001000000-q1,B001000000-q2,B001000000-q3,B001000000-q4,B001101000-q1,B001101000-q2,B001101000-q3,B001101000-q4,B001201000-q1,B001201000-q2,B001201000-q3,B001201000-q4,B001209000-q1,B001209000-q2,B001209000-q3,B001209000-q4,B001300000-q1,B001300000-q2,B001300000-q3,B001300000-q4,B002000000-q1,B002000000-q2,B002000000-q3,B002000000-q4,B002100000-q1,B002100000-q2,B002100000-q3,B002100000-q4,Variance
-0.1868678483166387,-0.18718974773339406,-0.18879757009175033,-0.18169750496257694,-0.17852763179391878,-0.16626621963752278,-0.16978472939029668,-0.16224439103861013,-0.15081502963447205,-0.0824622786547639,-0.14734004511387241,-0.10566030836118713,-0.14014697449764332,-0.14571210193945086,-0.13923618241547267,-0.09374038511849418,-0.13632889836262663,-0.1363481880845875,-0.10228451851850431,-0.11483980947464341,-0.1376867792949675,-0.13723388311236057,-0.13201580565985097,-0.11449765396852046,-0.133587044484662,-0.13309114493446164,-0.1290090858645399,-0.018598604695640238,-0.06374594289604824,-0.06055187417625687,-0.0496153756189815,-0.09158625830386104,-0.13326489478729261,-0.13254330599326153,-0.099694186931275,-0.08637500416455851,-0.13162009039090308,-0.13311069947882673,-0.09711731411283599,-0.1323965138534063,-0.15677480693826215,-0.1507616165027894,-0.1282282480689646,0.2738016025029666
-0.18011392277808172,-0.18994352026241335,-0.19052723482746262,-0.18319157789737925,-0.17100495101224727,-0.17760645086132318,-0.18000306521704518,-0.17135845528251858,-0.17633513167956308,-0.1708365844615834,-0.1742547860312262,-0.17560931430574409,-0.1346839268264882,-0.13355534684404258,-0.1322327776129643,-0.1214240382915115,-0.1387872313354004,-0.14209120927926988,-0.11650843151013178,-0.13320170372831233,-0.1406352272079361,-0.14166134589908347,-0.14039387269559506,-0.12383367582894697,-0.13079405644395675,-0.13164526190426742,-0.13083675353062738,-0.12973258299562712,-0.13981368026447347,-0.138939380709785,-0.1344253547781699,-0.12156477969650248,-0.13654188219165836,-0.13988267078003921,-0.11455194068368275,-0.11628828318157348,-0.13654641895915043,-0.13995247289733043,-0.11161985774422926,-0.14582154684299115,-0.14598780612818263,-0.15018939425295824,-0.13991686762010155,0.003636135569606
-0.16288021333042163,-0.17554365257302906,-0.17798456862959036,-0.17468850812260048,-0.14707133422420973,-0.15706875282083463,-0.16251419903857767,-0.16209272305512595,-0.11291272893189189,-0.1130634740303745,-0.12393310250563684,-0.13676536328754327,-0.1389094109465801,-0.1477170860834991,-0.14407161915049035,-0.12414377898283518,-0.16622120807259028,-0.16754875161044624,-0.15129271199765257,-0.1140147761573604,-0.1284667777397988,-0.12955052993115745,-0.13027277242184263,-0.10167485759683059,-0.11404154483478786,-0.11537913178345191,-0.11581637291867394,-0.13169232891858498,-0.14882382289432144,-0.1462521127148802,-0.14225758659971904,-0.12693268173382455,-0.1750910202752402,-0.1759814871565642,-0.15885378039017772,-0.11847861298240783,-0.16533171410546338,-0.16625645891346036,-0.14571577498340188,-0.1514745490272495,-0.16513903111901929,-0.1701066392598524,-0.17688525972943372,0.0087890275147878
-0.12749532471211467,-0.13612408388708894,-0.13730753289002853,-0.11608978116058327,-0.09791223423066948,-0.1038654343564314,-0.10637540602346955,-0.07334550488211529,-0.12615736366361205,-0.12606586051562813,-0.13276721982261416,-0.0527887272393208,-0.09390538192801011,-0.09990234399628824,-0.10265612367477983,-0.07613625945795016,-0.11870879524088017,-0.10800985789890913,-0.07068738020226534,-0.09880345442900061,-0.10005418040511097,-0.10167920141658131,-0.09725869435858625,-0.09104174410880546,-0.08994665222459375,-0.09250485782791987,-0.08956247139064825,-0.13284957884009005,-0.14683825621155844,-0.14537076007656735,-0.14104662371700905,-0.07211723414803925,-0.1145569563977345,-0.10478620089678661,-0.06820782685459738,-0.06592584808923257,-0.11479628533932933,-0.10270558420071142,-0.06401987537362763,-0.13212397806931755,-0.13560840426879786,-0.13486539022899194,-0.10765769217104645,0.3472902944164469
-0.0764153150022566,-0.08474379649668745,-0.07550964245068877,-0.07389751454432536,-0.08845508755979516,-0.10131081941511545,-0.09448833258371682,-0.10258405602805444,-0.11568072288604994,-0.1724353326870866,-0.15515282405767045,-0.12451496375289703,-0.09107081076410345,-0.11127457965898337,-0.060271438818128055,-0.13675530458539065,-0.06128743852281736,-0.1269456064362242,-0.2885397967394312,0.04627022105721464,0.0004466278370885922,0.01577149511358835,0.03370076355620234,0.07000041232190217,0.022815292772723615,0.04177440624520632,0.07096491515916702,-0.04830281980376799,-0.09763499090481162,-0.08724259078696668,-0.08109327794186004,-0.1352098640066135,-0.05907813543213027,-0.12535181267577186,-0.29063151558148254,-0.14793627303896614,-0.03271165981887416,-0.11297048610904335,-0.27273201755900156,-0.06592154950749271,-0.21184854871048558,-0.201575279388015,-0.36874754062591114,0.0183756841275378
-0.11982072271494515,-0.005008730467365508,-0.005363581274911693,-0.005215589614214545,-0.08440189947095691,-0.005134526880720649,-0.00540499484806904,-0.005150010748564385,-0.1847074998244299,-0.004367483964326601,-0.0045176064698672,-0.0035036281886425408,-0.14130342321740247,-0.0038557699848771995,-0.003128318001781959,-0.15842350040830214,-0.002388083250367464,-0.0029680486036095565,-0.0018744230695645079,-0.1443650327871742,-0.006096884599107609,-0.006302773581202381,-0.006140300050667354,-0.1328136566133048,-0.006423202654992569,-0.00663856909924379,-0.006488853450274417,-0.13195805359459412,-0.003108108242316016,-0.003011298051283469,-0.002793127222635935,-0.15638934554122602,-0.003671497625611779,-0.003859496348817774,-0.002494545005947048,-0.15348609378242226,-0.0024049420560016584,-0.0030136519865303804,-0.001873174410039258,-0.1798714053699838,-0.0021803373873045474,-0.0026085591178472384,-0.001721912567278204,0.0044363599691818
-0.15477157598229357,-0.16705868567419827,-0.16716761359243737,-0.15522471006445257,-0.17224070232568423,-0.17468771162248212,-0.17652098854585974,-0.17368417480780374,-0.1565834636590513,-0.159332628418886,-0.1580009333407403,-0.15668250211057128,-0.14069046978602887,-0.14071574340325055,-0.1395354546880272,-0.06679789665160256,-0.05657821145568509,-0.058558234368412926,0.04053431544147284,-0.12429165976304625,-0.12854328000039028,-0.1290942983595493,-0.12788932745632095,-0.1255801073472903,-0.13356642292847246,-0.13393182709460819,-0.1324201904816487,-0.023340223405015625,0.004744669098620005,0.005430998499985832,0.01825830494025895,-0.06224318187578188,-0.05069800101571843,-0.05271698997698942,0.046627251021677196,-0.058186991564877,-0.05071496465898142,-0.054024881769771806,0.045356857852983,-0.11397794631954021,-0.08632444687168403,-0.08269969366142275,0.008368230474974188,0.0196878287222424
-0.13057739089655146,-0.13846619278477595,-0.14082189255716362,-0.14645381957057915,-0.14934175307423594,-0.15195486277976156,-0.15493922981923752,-0.15562486540891937,-0.17364224545067944,-0.1358851952554971,-0.13968469491993082,-0.17487202082465603,-0.11014134332670106,-0.11707165878761683,-0.11514250667937592,-0.13801075856901238,-0.17181187359539088,-0.17893590135233547,-0.34076275882896595,-0.10908682223045954,-0.11971062123395897,-0.11770141551834487,-0.11479914881616156,-0.09918961956620233,-0.10936604438329091,-0.10638201337943168,-0.10350696908454907,-0.11774012182968127,-0.1281390346711572,-0.12730167716895457,-0.115323635373017,-0.14018204450290106,-0.16875477642135525,-0.17723853395362543,-0.3320587754293644,-0.1356402697511676,-0.1744035414474199,-0.1801662030184634,-0.3496938614209066,-0.14558809033034226,-0.15196300203988372,-0.16705252337541346,-0.26649916740902857,0.0115489234029924
-0.16197926687638642,-0.17684737905479977,-0.1786301596609563,-0.17172317213351468,-0.14449279617139082,-0.1589694872459616,-0.16258947599411783,-0.1551954302607263,-0.06395472006150862,-0.08646445875290835,-0.08709506467188008,-0.08616467712323596,-0.12320226695452871,-0.132477373518649,-0.12401394238139397,-0.11398435792705024,-0.15495785047639968,-0.1544300078894674,-0.1286295118504852,-0.12715520368414532,-0.13874288846783306,-0.13839543557169592,-0.13769695998445017,-0.11622641348835291,-0.1258809202250178,-0.12572480673507833,-0.12533110297488492,-0.13295872331063557,-0.14320882099774368,-0.14166372274382216,-0.13984022762151693,-0.1146133339738881,-0.15494128950083214,-0.15416476047791758,-0.13145492076896764,-0.10862716764652464,-0.15120599150166567,-0.15132754272319418,-0.1230928621567683,-0.14002627027598918,-0.16956979647766549,-0.16750954229314477,-0.15529762774071387,0.009374363181356
-0.1527759768023044,-0.16880643708169984,-0.15550517958246762,-0.1499807098997945,-0.1537987344090384,-0.1761985592264891,-0.168778168787971,-0.1717587525460332,-0.11681996547039356,-0.1626637931955046,-0.16162092370045336,-0.18170470558924773,-0.14241574371146945,-0.15089246432961656,-0.11876945321805008,-0.10342657799068157,-0.13435936050863417,-0.13137520183332554,-0.10183701957506895,-0.13235855543573752,-0.1413770966948953,-0.14049370627749894,-0.13686108610089323,-0.12669484179486865,-0.13572522446888552,-0.13531234121021157,-0.13275318943759676,-0.08770183745279221,-0.0853556515515082,-0.08299011511232418,-0.07931534130016374,-0.10405728924041867,-0.13143857358161173,-0.12850957407684854,-0.1023259803883112,-0.09858188522545967,-0.13228849025464207,-0.12922899635141666,-0.09851579305901076,-0.1270147027871037,-0.14082946543723415,-0.13985908079959353,-0.11650777708253693,0.0120431512994772
-0.0655527852092429,-0.07331381713368616,-0.0691751496132812,-0.043947987535135756,-0.02481696245132783,-0.037817372523243874,-0.04260521591159497,-0.025759541692749986,-0.0881634527699308,-0.13167959693326944,-0.16439662861646306,-0.11721482819523824,0.050859193719479535,0.08815331276820955,0.13902572875132158,0.004472193639056753,0.0015610405942543617,0.025552466774960432,-0.0011496182106836945,-0.07416242147760173,-0.08640775561135244,-0.07237750660561916,-0.06683228169599398,-0.07119930596878439,-0.08136615970155449,-0.06972087618692344,-0.06402986223652715,-0.11115433739374146,-0.12242076122186174,-0.11511799331427539,-0.10084644855559721,0.00877643210733671,0.005295731410395449,0.029765077131965915,0.0018761583854117003,0.009136441940938237,0.0008208790396461393,0.027209150263878795,0.004434713165577498,-0.02332324459074696,0.0046979919872626695,0.014762176475377906,-0.0355467241896764,0.0048087396368106
-0.1605221963515828,-0.17098288711825743,-0.17295700480524417,-0.17906094618456617,-0.18537315385740386,-0.1894514384577101,-0.193375804877812,-0.1910531321343779,-0.19642067110743117,-0.17005150265174637,-0.1798160393855117,-0.1971128288189515,-0.13381363923928713,-0.14402320194516327,-0.13800902857841948,-0.23345477915233262,-0.19622765707540213,-0.19269460476262093,-0.22726243351754805,-0.14063356071141989,-0.15029219554096543,-0.15025658107287795,-0.14815052493132766,-0.1270934747106114,-0.1363319887421152,-0.13652633035108144,-0.13505122890443091,-0.14554620406360547,-0.15931623290039784,-0.1576744304488341,-0.1536550134888202,-0.23481793716369015,-0.19942167632653587,-0.19484627245645195,-0.24314979087135263,-0.23947068133312333,-0.19564356425253218,-0.1902651338541643,-0.23567184291877505,-0.187823227804085,-0.1923332369285033,-0.20079051720732893,-0.16281365462204062,0.0082819142957196
