Cash,AccountsReceivable,TotalCurrentAssets,OtherCurrentAssets,TotalAssets,AccountsPayable,OperatingRevenue,OperatingCost,SellingExpenses,OperatingProfit,TotalProfit,IncomeTax,NetProfit,Variance
-0.08614012999220984,-0.09257235958226823,-0.08409006903235622,-0.08374914355333796,-0.09989301168377737,-0.019256187030112348,-0.07327912503222726,-0.06969447327752389,-0.06221307380748676,-0.0762079738636283,-0.07543334472927979,-0.07580651833344657,-0.07462521805551008,0.06227603757204249
-0.2007168851992322,-0.2515942790841869,-0.18130212249033006,-0.08371859023334587,-0.18318672245911902,-0.1363786111357555,-0.14429643887897872,-0.13167132158468842,-0.14557683533377533,-0.14907167806453897,-0.14841303937036274,-0.16685033923053486,-0.14375536687553792,-0.05086287968145184
-0.19237285932350753,-0.2307459629210796,-0.15411698184384925,-0.08394153902269644,-0.09841282973483284,-0.12768460864739878,-0.1244168718879469,-0.11384543976213787,-0.11786715119650687,-0.1385320086478369,-0.14030810650482956,-0.17097276320544452,-0.1336529958612762,-0.0551127067540332
-0.19540303340166204,-0.23669985838053634,-0.18366661558647976,-0.08269709447338308,-0.18903444230064656,-0.0012671129899185546,-0.1444011376777844,-0.13197290408143492,-0.14347131484105072,-0.15280767998617817,-0.15357091048774726,-0.1755518448815176,-0.14825495108620942,-0.08735415016078762
-0.2043112027178048,-0.27122592780458127,-0.18911326344624074,-0.0832225491782111,-0.1755027803433995,-0.13437950580060753,-0.14321543711278814,-0.1301425128140684,-0.15189714010523295,-0.23829822641684925,-0.22249443134452757,-0.15208604620865251,-0.23218974859022118,-0.08290603534833448
-0.1375688917888829,-0.13103076536819505,-0.14138249653926652,-0.08599569211567011,-0.12709751784464204,-0.12152605684592822,-0.12115807396772167,-0.12141566743894257,-0.05086838004544813,-0.082200903357685,-0.0847606299199901,-0.10025140780176851,-0.08127825958127749,-0.055636912935708674
-0.15018502978014958,0.22748477180730486,-0.043852668372241256,-0.056446122546982024,-0.05119754783020833,0.07371774189788141,-0.08114892089633459,-0.07430224125382276,-0.04842262843529698,-0.1268262520144679,-0.12405654021711578,-0.1217317534967762,-0.1231937363512573,0.03736678851804256
-0.19374423430465904,-0.2684479764497381,-0.15471079666316337,-0.08235802254291882,-0.16797339476097553,-0.12265628240306296,-0.1305257746296628,-0.12499397839233319,-0.10056109750647314,-0.09471516421075592,-0.09758869513367766,-0.15910538391639562,-0.0861292125472099,-0.08525635135064476
-0.17811318806048176,0.1157274683077591,-0.09119142369639557,-0.08239683021369232,-0.11146339751898915,-0.04026838213979688,-0.07294985112555827,-0.07212193250039008,-0.0607008797746817,-0.01845102979567996,-0.022393468702631855,-0.04825396776969659,-0.017804121389377106,-0.08840940215634434
-0.15599973817423873,-0.0773055289628311,-0.13404277642746132,-0.08235040756163381,-0.1394138417426528,-0.1017737458682956,-0.11312298734245396,-0.10523284334882159,-0.1260479748935307,-0.1236495433185046,-0.12043025371557561,-0.1594903135817631,-0.11255508550741733,-0.004904183462556569
-0.09248858159770257,-0.01730603205111635,-0.08238674118566523,-0.0858751797345848,-0.13329722726911838,-0.08235178125310501,-0.11671002227428863,-0.10990083053727955,-0.10324342052802028,-0.0981226011578912,-0.10057869657506015,-0.12709985212768302,-0.0950497636488284,-0.07573374827607379
-0.17238522915351862,-0.1110825742447779,-0.1323028395294471,-0.08312723936799188,-0.13116421957837937,-0.12097450192385693,-0.13848653138123762,-0.1280613113006946,-0.1198187333618332,-0.21170285442176606,-0.2122118986700654,-0.21592688246026795,-0.2093876089995982,-0.07341469296504131
-0.12517568880206983,-0.2982804094584034,-0.15453849781958454,0.019159442964487204,-0.16675550852394103,-0.1363086980392136,-0.1337574112106566,-0.1274099231064641,-0.12127163120909286,-0.08060403444440424,-0.08301333810493385,-0.10130950185886733,-0.0790714976392488,-0.03075749597533651
0.3307282901076472,-0.038216895797895174,0.1359168683091396,-0.022928654970372036,0.1413861972729658,0.004331923481205013,0.49557485190791456,0.4394936313585186,1.0612466244658674,0.3150326921139829,0.33525844776746216,0.3783817964488989,0.3243118597538042,-0.07727812274889478
0.13823230486472948,0.4511229279070099,0.10686055339600964,-0.053435047891570935,0.13039552383886824,-0.0012671129899185546,0.00017756421206459712,-0.01202815369221937,-0.010493007848483945,0.10277500499837493,0.09333632264888711,0.06921388643790023,0.0964053870380586,-0.07494949603916361
